step= 227,328 | ep=   888 | lvl=expert | ph=B cbs=0.68 | rew=-2.042 | goals=18.2 | coll=237.9 | pol=-0.0014 | val=0.0177 | ent=0.997 | 125 sps
step= 229,376 | ep=   896 | lvl=expert | ph=B cbs=0.68 | rew=-1.991 | goals=18.8 | coll=239.0 | pol=-0.0024 | val=0.0195 | ent=0.913 | 124 sps
step= 231,424 | ep=   904 | lvl=expert | ph=B cbs=0.67 | rew=-2.023 | goals=18.3 | coll=237.0 | pol=-0.0010 | val=0.0124 | ent=0.909 | 124 sps
step= 233,472 | ep=   912 | lvl=expert | ph=B cbs=0.67 | rew=-2.071 | goals=18.0 | coll=236.8 | pol=-0.0029 | val=0.0144 | ent=1.034 | 123 sps
step= 235,520 | ep=   920 | lvl=expert | ph=B cbs=0.66 | rew=-2.071 | goals=18.2 | coll=240.5 | pol=-0.0023 | val=0.0136 | ent=0.926 | 123 sps
step= 237,568 | ep=   928 | lvl=expert | ph=B cbs=0.66 | rew=-1.964 | goals=18.7 | coll=235.2 | pol=-0.0047 | val=0.0187 | ent=0.953 | 123 sps
step= 239,616 | ep=   936 | lvl=expert | ph=B cbs=0.65 | rew=-1.951 | goals=19.0 | coll=238.0 | pol=-0.0045 | val=0.0135 | ent=1.023 | 122 sps
step= 241,664 | ep=   944 | lvl=expert | ph=B cbs=0.65 | rew=-1.953 | goals=19.1 | coll=238.6 | pol=-0.0042 | val=0.0171 | ent=1.016 | 122 sps
step= 243,712 | ep=   952 | lvl=expert | ph=B cbs=0.64 | rew=-1.927 | goals=19.4 | coll=240.2 | pol=-0.0051 | val=0.0183 | ent=1.038 | 122 sps
step= 245,760 | ep=   960 | lvl=expert | ph=B cbs=0.64 | rew=-1.908 | goals=19.7 | coll=242.9 | pol=-0.0024 | val=0.0107 | ent=1.009 | 121 sps
step= 247,808 | ep=   968 | lvl=expert | ph=B cbs=0.63 | rew=-1.893 | goals=20.0 | coll=247.4 | pol=-0.0019 | val=0.0162 | ent=1.008 | 121 sps
step= 249,856 | ep=   976 | lvl=expert | ph=B cbs=0.63 | rew=-1.997 | goals=19.4 | coll=252.8 | pol=-0.0050 | val=0.0180 | ent=0.986 | 120 sps
step= 251,904 | ep=   984 | lvl=expert | ph=B cbs=0.62 | rew=-1.941 | goals=19.3 | coll=246.8 | pol=-0.0038 | val=0.0301 | ent=0.776 | 120 sps
step= 253,952 | ep=   992 | lvl=expert | ph=B cbs=0.62 | rew=-1.967 | goals=19.0 | coll=249.7 | pol=-0.0037 | val=0.0120 | ent=0.964 | 120 sps
step= 256,000 | ep= 1,000 | lvl=expert | ph=B cbs=0.61 | rew=-1.958 | goals=19.3 | coll=254.2 | pol=-0.0036 | val=0.0176 | ent=0.987 | 120 sps
step= 258,048 | ep= 1,008 | lvl=expert | ph=B cbs=0.60 | rew=-1.932 | goals=20.0 | coll=261.4 | pol=-0.0046 | val=0.0252 | ent=0.949 | 119 sps
step= 260,096 | ep= 1,016 | lvl=expert | ph=B cbs=0.60 | rew=-1.924 | goals=19.7 | coll=258.0 | pol=-0.0044 | val=0.0106 | ent=0.927 | 119 sps
step= 262,144 | ep= 1,024 | lvl=expert | ph=B cbs=0.59 | rew=-1.871 | goals=19.8 | coll=251.4 | pol=-0.0031 | val=0.0177 | ent=0.877 | 118 sps
step= 264,192 | ep= 1,032 | lvl=expert | ph=B cbs=0.59 | rew=-1.784 | goals=20.6 | coll=251.9 | pol=-0.0037 | val=0.0194 | ent=0.935 | 118 sps
step= 266,240 | ep= 1,040 | lvl=expert | ph=B cbs=0.58 | rew=-1.727 | goals=20.9 | coll=249.8 | pol=-0.0032 | val=0.0124 | ent=0.932 | 118 sps
step= 268,288 | ep= 1,048 | lvl=expert | ph=B cbs=0.58 | rew=-1.713 | goals=20.9 | coll=246.2 | pol=-0.0052 | val=0.0112 | ent=0.937 | 118 sps
step= 270,336 | ep= 1,056 | lvl=expert | ph=B cbs=0.57 | rew=-1.755 | goals=20.8 | coll=252.4 | pol=-0.0035 | val=0.0245 | ent=0.902 | 117 sps
step= 272,384 | ep= 1,064 | lvl=expert | ph=B cbs=0.57 | rew=-1.726 | goals=20.9 | coll=247.3 | pol=-0.0022 | val=0.0205 | ent=0.986 | 117 sps
step= 274,432 | ep= 1,072 | lvl=expert | ph=B cbs=0.56 | rew=-1.682 | goals=21.8 | coll=261.4 | pol=-0.0016 | val=0.0733 | ent=0.987 | 117 sps
